,tp,tn,fp,fn,iou,recall,precision
unet_model_19_0_metrics,0.0,327146158.0,9554.0,0.0,0.0,,0.0
unet_model_23_0_metrics,0.0,327150048.0,5664.0,0.0,0.0,,0.0
unet_model_09_0_metrics,0.0,327152752.0,2960.0,0.0,0.0,,0.0
unet_model_14_0_metrics,0.0,327134400.0,21312.0,0.0,0.0,,0.0
unet_model_10_0_metrics,0.0,327139295.0,16417.0,0.0,0.0,,0.0
unet_model_05_0_metrics,0.0,327134560.0,21152.0,0.0,0.0,,0.0
unet_model_04_0_metrics,0.0,327115832.0,39880.0,0.0,0.0,,0.0
unet_model_21_0_metrics,0.0,327149886.0,5826.0,0.0,0.0,,0.0
unet_model_12_0_metrics,0.0,327148829.0,6883.0,0.0,0.0,,0.0
unet_model_32_0_metrics,0.0,327146949.0,8763.0,0.0,0.0,,0.0
unet_model_20_0_metrics,0.0,327145952.0,9760.0,0.0,0.0,,0.0
unet_model_31_0_metrics,0.0,327150491.0,5221.0,0.0,0.0,,0.0
unet_model_03_0_metrics,0.0,327099337.0,56375.0,0.0,0.0,,0.0
unet_model_17_0_metrics,0.0,327143556.0,12156.0,0.0,0.0,,0.0
unet_model_08_0_metrics,0.0,327147684.0,8028.0,0.0,0.0,,0.0
unet_model_25_0_metrics,0.0,327147942.0,7770.0,0.0,0.0,,0.0
unet_model_24_0_metrics,0.0,327150125.0,5587.0,0.0,0.0,,0.0
unet_model_18_0_metrics,0.0,327143250.0,12462.0,0.0,0.0,,0.0
unet_model_07_0_metrics,0.0,326909859.0,245853.0,0.0,0.0,,0.0
unet_model_11_0_metrics,0.0,327144822.0,10890.0,0.0,0.0,,0.0
unet_model_29_0_metrics,0.0,327147376.0,8336.0,0.0,0.0,,0.0
unet_model_22_0_metrics,0.0,327147059.0,8653.0,0.0,0.0,,0.0
unet_model_28_0_metrics,0.0,327148761.0,6951.0,0.0,0.0,,0.0
unet_model_15_0_metrics,0.0,327149081.0,6631.0,0.0,0.0,,0.0
unet_model_16_0_metrics,0.0,327137717.0,17995.0,0.0,0.0,,0.0
unet_model_30_0_metrics,0.0,327138021.0,17691.0,0.0,0.0,,0.0
unet_model_13_0_metrics,0.0,327135577.0,20135.0,0.0,0.0,,0.0
unet_model_06_0_metrics,0.0,327139401.0,16311.0,0.0,0.0,,0.0
unet_model_27_0_metrics,0.0,327148510.0,7202.0,0.0,0.0,,0.0
unet_model_02_0_metrics,0.0,327074819.0,80893.0,0.0,0.0,,0.0
unet_model_01_0_metrics,0.0,327117740.0,37972.0,0.0,0.0,,0.0
unet_model_26_0_metrics,0.0,327110983.0,44729.0,0.0,0.0,,0.0
