,experiment,model,sampling,epoch,iou,acc,precision,recall
55,experiment2,sup,uneven,06,0.6584957527318084,0.9966684473034356,0.7353130749379531,0.863075085799091
56,experiment2,sup,uneven,07,0.4336977840895721,0.9911731404607419,0.4535772655484349,0.9082181615805583
57,experiment2,sup,uneven,08,0.19408269129009076,0.974304203237681,0.20203512943907853,0.8313873944903071
58,experiment2,sup,uneven,09,0.62245857887145,0.9964932818358221,0.7580649723906943,0.7767687366663575
59,experiment2,sup,uneven,10,0.43832530827611965,0.9915967392772369,0.4658938504243439,0.8810581114924404
60,experiment2,ae,even,01,0.6420456324499563,0.9967936024798891,0.7915602617857016,0.7726816853724144
61,experiment2,ae,even,02,0.4632376500744482,0.9956990070864453,0.866935748010864,0.49869562192746497
62,experiment2,ae,even,03,0.5953914929332653,0.9956005830362848,0.6536602367907985,0.869776690473982
63,experiment2,ae,even,04,0.6284224905742856,0.9963321615362609,0.7187040684710988,0.8334077311937668
64,experiment2,ae,even,05,0.560547899187205,0.9953714159471125,0.6564752731765242,0.7932212920879325
65,experiment2,ae,even,06,0.6141779704188505,0.9961437491666749,0.7063690867789625,0.8247408635562564
66,experiment2,ae,even,07,0.582215322941358,0.996231601584968,0.7690766795471707,0.7055583897597626
67,experiment2,ae,even,08,0.6143650389962699,0.9960743000177344,0.6956110671177981,0.8402571653835451
68,experiment2,ae,even,09,0.5440475063533559,0.9945963427331681,0.5939329620929373,0.8662635655319544
69,experiment2,ae,even,10,0.39112818185885107,0.9897226478442717,0.4116411838929858,0.8869915824135053
70,experiment2,sup,even,01,0.06971596370195032,0.9095190641042181,0.07019404268130487,0.9110008348019665
71,experiment2,sup,even,02,0.26101473334716746,0.9923168615802302,0.47882493119292246,0.3645968602170485
72,experiment2,sup,even,03,0.47842479517430847,0.9935323403478628,0.5447881397067419,0.7970561636211854
73,experiment2,sup,even,04,0.3026637452433121,0.9915748624716993,0.44081029698232255,0.491292551711344
74,experiment2,sup,even,05,0.41919161035863883,0.9942621712923669,0.6296378910491286,0.5563810175308413
75,experiment2,sup,even,06,0.4658844670930719,0.9938311939083236,0.5671594612234131,0.7229182125962341
76,experiment2,sup,even,07,0.5424185065275169,0.9959475267343625,0.7726922543031649,0.6454033716723866
77,experiment2,sup,even,08,0.45727187684063425,0.9949306651972818,0.6924123506533478,0.5738364947592988
78,experiment2,sup,even,09,0.5396916601030383,0.9953852237928167,0.6769282677643566,0.726929899823764
79,experiment2,sup,even,10,0.5078726117729545,0.994730084663669,0.6248416690008354,0.730677812818848
80,experiment3,ae,uneven,01,0.5213208500001817,0.9943148352788732,0.5827251942187189,0.8318569705964196
81,experiment3,ae,uneven,02,0.6172388116269012,0.9962959159412873,0.7277860436261546,0.8025113625823207
82,experiment3,ae,uneven,03,0.608325577460022,0.9960050450416242,0.6923921417565485,0.8336193303033114
83,experiment3,ae,uneven,04,0.49105514600020433,0.992907146984086,0.513131564771332,0.9194445088581764
84,experiment3,ae,uneven,05,0.40580038603767454,0.9898182887505323,0.4177378108607994,0.9342129672572118
85,experiment3,ae,uneven,06,0.4857599041395412,0.992815044338287,0.5096938097660718,0.9118530284760227
86,experiment3,ae,uneven,07,0.589477661204273,0.9957334619764291,0.6749942950595216,0.8230973471848623
87,experiment3,ae,uneven,08,0.2703012005234086,0.9816764925310342,0.2775470810914291,0.9119225953065578
88,experiment3,ae,uneven,09,0.5859759951943274,0.9954498186210018,0.6448355047839602,0.8652229616918653
89,experiment3,ae,uneven,10,0.458276681148958,0.9920830990674094,0.4829188536652904,0.899809270939616
90,experiment3,sup,uneven,01,0.3596232816513936,0.993476332273725,0.5717460328149253,0.4922085149800575
91,experiment3,sup,uneven,02,0.16601364076171077,0.964277075135824,0.16731083564300145,0.9553815740654856
92,experiment3,sup,uneven,03,0.48100756466533223,0.9923755449244732,0.4936658683374807,0.9493901307856414
93,experiment3,sup,uneven,04,0.39730010209192124,0.9891993089173226,0.4045993386780181,0.956564210184584
94,experiment3,sup,uneven,05,0.4549928560088903,0.991408326907651,0.46293521669627985,0.9636629255171134
95,experiment3,sup,uneven,06,0.2689168074997608,0.9802137886010193,0.27056724960458395,0.9778197755310268
96,experiment3,sup,uneven,07,0.15825276634556146,0.9645976976280278,0.16127168868970543,0.8942236341712272
97,experiment3,sup,uneven,08,0.04460323928200315,0.8425775709669332,0.044628635347342335,0.9874026064372508
98,experiment3,sup,uneven,09,0.6812284181911689,0.9971917430808669,0.8145321870314842,0.8062969576106113
99,experiment3,sup,uneven,10,0.43922516942348094,0.9923001842915906,0.48958077917346804,0.8102593683331787
100,experiment3,ae,even,01,0.5799665263478216,0.9964264432327101,0.8225224058809144,0.6629255171134403
101,experiment3,ae,even,02,0.6162374061824891,0.9962172975198089,0.7156245234100961,0.8160797931546239
102,experiment3,ae,even,03,0.6592488449594789,0.9968939682583517,0.782312925170068,0.8073520545403952
103,experiment3,ae,even,04,0.403020708853284,0.9897933267544702,0.41648171089522074,0.9257576987292458
104,experiment3,ae,even,05,0.5948156757250872,0.9966529134770183,0.8573515184140883,0.6601486411279102
105,experiment3,ae,even,06,0.6761993244005069,0.9969020372181852,0.7528041934868401,0.8691969668861886
106,experiment3,ae,even,07,0.45255218230080796,0.9918573407901453,0.47530209685380526,0.9043514052499768
107,experiment3,ae,even,08,0.2960859406989908,0.9936949061562712,0.6365792526307068,0.3563155087654207
108,experiment3,ae,even,09,0.5506259441316225,0.9947949815384788,0.6063988873640744,0.8568720434097022
109,experiment3,ae,even,10,0.6308922512528027,0.9963879322880507,0.7249140601844698,0.829474306650589
110,experiment3,sup,even,01,0.02714599932026643,0.7346309615913197,0.0271498216694041,0.9948404600686392
111,experiment3,sup,even,02,0.2739562651352346,0.9862092846543487,0.3105741223856996,0.6991176606993785
112,experiment3,sup,even,03,0.2402236104209555,0.9769086002598464,0.24135250347511716,0.9809010064001484
113,experiment3,sup,even,04,0.170679156250726,0.9668824430221404,0.17340321826361307,0.9157168861886652
114,experiment3,sup,even,05,0.4162965429737164,0.9902434840991869,0.42873113545517505,0.9348680549114182
115,experiment3,sup,even,06,0.35780552630259266,0.9950268454725153,0.902048097994044,0.3722695019014934
116,experiment3,sup,even,07,0.5847469629067761,0.9962676961566292,0.7728290801111632,0.7061178230219831
117,experiment3,sup,even,08,0.3547902280199611,0.9947669343518921,0.8117054230542183,0.3866089648455616
118,experiment3,sup,even,09,0.3317992984635543,0.9864455066896854,0.3438786589432261,0.9042673453297467
119,experiment3,sup,even,10,0.23403681956145575,0.994174275724556,0.9162844418777695,0.23915047305444764
120,experiment4,ae,uneven,01,0.35930768061696583,0.9882672361827692,0.3770832122672595,0.8840204990260644
121,experiment4,ae,uneven,02,0.33065374144735254,0.986834068097706,0.34723378865732984,0.8738144652629626
122,experiment4,ae,uneven,03,0.5448091063698501,0.9948433521479614,0.6136721004116603,0.829207633800204
123,experiment4,ae,uneven,04,0.5485781474546009,0.995303477031296,0.6584322295454093,0.7667916937204341
124,experiment4,ae,uneven,05,0.4209316683948232,0.9915417883662859,0.46187257905058265,0.8260481402467303
125,experiment4,ae,uneven,06,0.4133917777750405,0.9928077736445334,0.5126892364634686,0.6809607179296912
126,experiment4,ae,uneven,07,0.3340242590043157,0.9869957709157579,0.35055450678812783,0.8762927836007791
127,experiment4,ae,uneven,08,0.48943012183019785,0.9947829859725232,0.6431411392914319,0.6718967396345422
128,experiment4,ae,uneven,09,0.49470104383319236,0.993851668354532,0.560256472043503,0.8087173035896484
129,experiment4,ae,uneven,10,0.33242682362234804,0.9866539835850604,0.3462350338775015,0.8928815740654856
130,experiment4,sup,uneven,01,0.186402811808579,0.9682423432259356,0.18720440970757377,0.977544406826825
131,experiment4,sup,uneven,02,0.4946110126117366,0.9958734390122558,0.8483372157314166,0.5425893933772378
132,experiment4,sup,uneven,03,0.05517258320615369,0.8763569120996857,0.05526678764201778,0.9700311891290233
133,experiment4,sup,uneven,04,0.48263429063034674,0.9953811030138644,0.7437436691890603,0.5789003802986736
134,experiment4,sup,uneven,05,0.4786609270505035,0.9956103348273134,0.8049076846844906,0.5414821213245524
135,experiment4,sup,uneven,06,0.09142748203073028,0.9275113342995949,0.0915982698854131,0.9800140293108246
136,experiment4,sup,uneven,07,0.05209101779000282,0.88068351425207,0.05246038034181395,0.8809305723031259
137,experiment4,sup,uneven,08,0.28874626087778943,0.984748738200225,0.306644826049744,0.8318453761246638
138,experiment4,sup,uneven,09,0.23180015280753385,0.9809541696026318,0.24882279146711803,0.7721193534922549
139,experiment4,sup,uneven,10,0.32369597658103727,0.9897920106941765,0.3897269008434425,0.6564181198404601
140,experiment4,ae,even,01,0.6559499032806559,0.996765166947642,0.7589243520784993,0.82860182265096
141,experiment4,ae,even,02,0.5876688184029949,0.9952758613398874,0.6264991066589043,0.90459488915685
142,experiment4,ae,even,03,0.659894002992696,0.9967782412515431,0.7548903641328136,0.8398426630182729
143,experiment4,ae,even,04,0.2925350197149361,0.9830758961183989,0.29808045757303964,0.940207309154995
144,experiment4,ae,even,05,0.6386492444525809,0.9969338815623405,0.8387205567094306,0.7280603608199611
145,experiment4,ae,even,06,0.056970749474854636,0.9929003725097874,0.8339275976341289,0.05762452462665801
146,experiment4,ae,even,07,0.5497024727314259,0.9957469893502675,0.7217308632422494,0.6975408125405806
147,experiment4,ae,even,08,0.6268808767348829,0.996870861691556,0.8478676135434463,0.7063294221315277
148,experiment4,ae,even,09,0.6159675713782164,0.9968032248223643,0.8533572710951526,0.6888855393748261
149,experiment4,ae,even,10,0.44991484210977334,0.9955682208979155,0.8552644305414857,0.4869939013078564
150,experiment4,sup,even,01,0.1976419596874445,0.9812845223111054,0.2249650204613193,0.6193795798163436
151,experiment4,sup,even,02,0.507337673503575,0.9942513839129105,0.5835124990696141,0.7953459790371951
152,experiment4,sup,even,03,0.29917163449407014,0.9846601306653698,0.3119230792946743,0.8797827195992951
153,experiment4,sup,even,04,0.25320312631135367,0.981762209048195,0.2669725027012929,0.8307757861051851
154,experiment4,sup,even,05,0.04485622528781147,0.8584488913378637,0.0450982983687999,0.8931250579723587
155,experiment4,sup,even,06,0.14522376197015557,0.9688850337191907,0.15437023428586188,0.7102309618773769
156,experiment4,sup,even,07,0.0021679423120194007,0.9336964077594915,0.002435471139831133,0.01935407197848066
157,experiment4,sup,even,08,0.28476897617907065,0.9929131879165817,0.5336970671411257,0.379089949911882
158,experiment4,sup,even,09,0.6245413154217193,0.996406162959332,0.7374119099831804,0.8031606530006493
159,experiment4,sup,even,10,0.5581114297819003,0.9951168985162175,0.6309494380534489,0.828607619886838
160,experiment5,ae,uneven,01,0.6538120116510241,0.9967690935537641,0.763540254957966,0.8198045172061961
161,experiment5,ae,uneven,02,0.6542602585016941,0.9967306473333813,0.7545058437833827,0.8312047815601521
162,experiment5,ae,uneven,03,0.6809214146824669,0.9969977859982404,0.7652018408670422,0.8607677859196735
163,experiment5,ae,uneven,04,0.6744050166792356,0.9968981537615808,0.7551157542409412,0.8631939291345886
164,experiment5,ae,uneven,05,0.5202574411297679,0.9938728116182666,0.5549525199560337,0.8927221500788424
165,experiment5,ae,uneven,06,0.6563351246279032,0.9965975957951658,0.7256075378785141,0.8730144467118078
166,experiment5,ae,uneven,07,0.6828261735459862,0.9970965983940613,0.7851068788345221,0.8397788934236157
167,experiment5,ae,uneven,08,0.6533094651199686,0.9968411532485331,0.7810872174661412,0.7997431824506076
168,experiment5,ae,uneven,09,0.5190178957378749,0.9939984198646572,0.562616675288455,0.8700897412113904
169,experiment5,ae,uneven,10,0.680122463129884,0.997053815647137,0.7799596517478422,0.8416050227251647
170,experiment5,sup,uneven,01,0.1861104833085771,0.9709425537524331,0.1903688126859795,0.8927047583712087
171,experiment5,sup,uneven,02,0.055354023937132416,0.8757866049225833,0.05542336321624947,0.9778980382153789
172,experiment5,sup,uneven,03,0.2555046580578077,0.979424087700532,0.2590822414326729,0.9487263472776181
173,experiment5,sup,uneven,04,0.5110416399012176,0.9940879982636635,0.5707089225079309,0.8301641777200631
174,experiment5,sup,uneven,05,0.5034889197512228,0.9955649199598019,0.7512234675123428,0.6042371997031816
175,experiment5,sup,uneven,06,0.3642868576116208,0.9945161062047713,0.7264624761220754,0.4221981959001948
176,experiment5,sup,uneven,07,0.041651984377340814,0.9902010249736465,0.13277282663527828,0.05721871811520267
177,experiment5,sup,uneven,08,0.6091867941183453,0.9960932642308189,0.7045807986380668,0.8181638994527409
178,experiment5,sup,uneven,09,0.5243126222899755,0.994775844727323,0.6193327114341274,0.7736237362025786
179,experiment5,sup,uneven,10,0.4769780265301802,0.9938709993385179,0.5666067413764445,0.75095364530192
180,experiment5,ae,even,01,0.41627529108426503,0.9950472551944468,0.7722559767534012,0.4745298441702996
181,experiment5,ae,even,02,0.6303906116936422,0.9966758690205016,0.7852479149920365,0.7617104164734255
182,experiment5,ae,even,03,0.5645996908809892,0.996201440072008,0.7935889993847608,0.6617834616454874
183,experiment5,ae,even,04,0.5322696671578185,0.9959319066089096,0.7868054180508804,0.6219738428717188
184,experiment5,ae,even,05,0.5132794736587489,0.9960928543103995,0.8757898984711051,0.5535780539838605
185,experiment5,ae,even,06,0.30916280741821567,0.993656567809683,0.620107545631489,0.38140014840923847
186,experiment5,ae,even,07,0.5076361040885712,0.9961007290974027,0.8940595627078145,0.540125568129116
187,experiment5,ae,even,08,0.6595841884950314,0.9968330627139407,0.7673873334250693,0.8244133197291531
188,experiment5,ae,even,09,0.5798326976421636,0.9958170425924575,0.6967547382072156,0.7755484185140525
189,experiment5,ae,even,10,0.6325014977172723,0.9969295666105579,0.8528432751632986,0.7099874779705037
190,experiment5,sup,even,01,0.32392683525506727,0.9856787829074404,0.33306838162680347,0.9218880437807253
191,experiment5,sup,even,02,0.20851940786445847,0.972358203133259,0.2094836467448644,0.9784023977367591
192,experiment5,sup,even,03,0.60149119163636,0.9957564606694302,0.6664638745712181,0.8605272006307393
193,experiment5,sup,even,04,0.5781833119043321,0.9950594880827505,0.613329451373569,0.9098268945366849
194,experiment5,sup,even,05,0.05712429181377088,0.87956522977334,0.057189910804105716,0.9803096883405992
195,experiment5,sup,even,06,0.01943618013991258,0.6695937213999602,0.019487884423565836,0.8798899684630368
196,experiment5,sup,even,07,0.2347881391864771,0.9941595185894595,0.9044196909809558,0.24076210462851313
197,experiment5,sup,even,08,0.455890241764338,0.9955139388044908,0.8242128917800118,0.5049914200909007
198,experiment5,sup,even,09,0.5232010334973917,0.9941394324889117,0.5701530221882173,0.8640084407754383
199,experiment5,sup,even,10,0.5244069207443962,0.994477552110594,0.593619598869296,0.8181059270939616
200,experiment6,ae,uneven,01,0.3884546580245457,0.9902718549071573,0.4219791909149574,0.8302076569891476
201,experiment6,ae,uneven,02,0.5447306971569116,0.9946326099029006,0.5963800506087678,0.8628229060384008
202,experiment6,ae,uneven,03,0.48533641040991743,0.9931004783987041,0.5217977333679384,0.8741449077080048
203,experiment6,ae,uneven,04,0.23025981036788967,0.9764354226473696,0.23326205919204396,0.9470625405806511
204,experiment6,ae,uneven,05,0.34449910179138055,0.9873646561436499,0.35946646049490566,0.8921685140524998
205,experiment6,ae,uneven,06,0.5446187941508202,0.9950348712828309,0.6318329155303344,0.7977982098135609
206,experiment6,ae,uneven,07,0.39806291744757927,0.9896754854212881,0.4128785803189116,0.917308227437158
207,experiment6,ae,uneven,08,0.5655150558349935,0.9951489370332032,0.6291379766237507,0.8483037287821167
208,experiment6,ae,uneven,09,0.5734952019321138,0.995858509279088,0.7106706460867506,0.7481825665522679
209,experiment6,ae,uneven,10,0.48315106648890566,0.9927819055085969,0.5084787373103462,0.9065398617938967
210,experiment6,sup,uneven,01,0.06842591600320745,0.9036011077344216,0.06866641824598961,0.9513061172432984
211,experiment6,sup,uneven,02,0.24499957006636064,0.9784043351457569,0.2487854345589919,0.9415203830813468
212,experiment6,sup,uneven,03,0.4659531768447975,0.9925306890158156,0.4989972577394522,0.8755652304980985
213,experiment6,sup,uneven,04,0.371432005643372,0.9931177166310755,0.537029176056318,0.546392380113162
214,experiment6,sup,uneven,05,0.2548045945022068,0.9787412250061812,0.2563692450042079,0.9766081532325387
215,experiment6,sup,uneven,06,0.5594683104609063,0.9952171564208856,0.6401916443255953,0.816073995918746
216,experiment6,sup,uneven,07,0.403374959402806,0.9896160469604832,0.4134127114197472,0.9432247704294592
217,experiment6,sup,uneven,08,0.610528832240774,0.9966608745630572,0.8224014264019959,0.7032481912624061
218,experiment6,sup,uneven,09,0.5332747824188474,0.9959413132037956,0.7872845411725062,0.6230463315091365
219,experiment6,sup,uneven,10,0.2700835370019973,0.9808245053015655,0.2737072247934531,0.9532713802059178
220,experiment6,ae,even,01,0.4847364068061222,0.9952149773702353,0.7094650653536988,0.6047908357295242
221,experiment6,ae,even,02,0.5399013734865686,0.9961572765405133,0.8322581929677856,0.6058256423337353
222,experiment6,ae,even,03,0.556105512286901,0.9956581229183055,0.6993686511436956,0.7308024533902235
223,experiment6,ae,even,04,0.5918583769390345,0.9965872830604054,0.843459395855932,0.6648936786939987
224,experiment6,ae,even,05,0.5526342086743166,0.9954604549771459,0.6746638633650003,0.7534116733141638
225,experiment6,ae,even,06,0.5919356232051749,0.996636905005905,0.8593503566691623,0.6554354883591503
226,experiment6,ae,even,07,0.4972334323206173,0.9948716366568962,0.6478304242150341,0.6814244967999258
227,experiment6,ae,even,08,0.5259548064556056,0.9961990236990097,0.8800034215277122,0.566589949911882
228,experiment6,ae,even,09,0.5467738328575751,0.9962833378568411,0.8555009900011937,0.6024081717836935
229,experiment6,ae,even,10,0.5695923782847455,0.9959687131476149,0.735039178150601,0.7167586494759299
230,experiment6,sup,even,01,0.02917604960092507,0.7587282413162674,0.02919863206915656,0.9741762127817457
231,experiment6,sup,even,02,0.45292276481669325,0.9918547086695579,0.47525658765034134,0.9059978202393099
232,experiment6,sup,even,03,0.590377900243426,0.9959556604184726,0.7057565063385046,0.7831398988962063
233,experiment6,sup,even,04,0.35251353755436643,0.9869181233584305,0.35820289823621004,0.9568859567758093
234,experiment6,sup,even,05,0.47991975297228334,0.9939315596867863,0.5699582558361679,0.752350779148502
235,experiment6,sup,even,06,0.012705728997916062,0.8865942430776307,0.013403982674649956,0.19607990909934142
236,experiment6,sup,even,07,0.592061408172039,0.9961922060751932,0.7450488209955004,0.7424896809201372
237,experiment6,sup,even,08,0.4926406243149634,0.9937582280736804,0.5550065296977768,0.8142681569427697
238,experiment6,sup,even,09,0.2533068640613819,0.9865373288636187,0.3013828716405246,0.6135939384101661
239,experiment6,sup,even,10,0.554641427999448,0.9957523398904778,0.7163638382227052,0.7107179296911232
240,experiment7,ae,uneven,01,0.13334546139479286,0.9564212091961979,0.13533164059557312,0.900849874779705
241,experiment7,ae,uneven,02,0.2991922923400825,0.9845453097984357,0.3111151803698956,0.8864553380947964
242,experiment7,ae,uneven,03,0.3946263435448406,0.9900090959183576,0.4182006087280576,0.8750086958538169
243,experiment7,ae,uneven,04,0.3631318202250903,0.9883541393116703,0.3798069744397236,0.8921366292551711
244,experiment7,ae,uneven,05,0.41855072381750064,0.9911333566053067,0.4498358551876299,0.8575126379742138
245,experiment7,ae,uneven,06,0.4874717380727512,0.9938181411791814,0.5600713539996877,0.7899429551989612
246,experiment7,ae,uneven,07,0.4390543201351238,0.9922186532776589,0.48649165648464254,0.8182711483164827
247,experiment7,ae,uneven,08,0.4026140000116579,0.9911555786069869,0.4474098856557105,0.8008446572674149
248,experiment7,ae,uneven,09,0.3043209635162085,0.9884851628225481,0.3560815654216298,0.6767461274464336
249,experiment7,ae,uneven,10,0.3277250775945994,0.9863827025664902,0.34128632086145166,0.8918641591689083
250,experiment7,sup,uneven,01,0.06533527142332012,0.9099788869409279,0.06612511012576669,0.8454369956404786
251,experiment7,sup,uneven,02,0.14485664362363954,0.9876779216430646,0.2305498098351905,0.2804325897412114
252,experiment7,sup,uneven,03,0.045860028304887245,0.851782053511443,0.045954436913409426,0.9571236434468046
253,experiment7,sup,uneven,04,0.5357693499504962,0.9946991896089057,0.6061280372453332,0.8219234069195808
254,experiment7,sup,uneven,05,0.03909104156766069,0.8213160775534913,0.03912765873931098,0.9766197477042946
255,experiment7,sup,uneven,06,0.098339196719591,0.9353098545300306,0.0988735189577042,0.9479089370188294
256,experiment7,sup,uneven,07,0.5443076545353308,0.99551514699099,0.6907152255612953,0.7197239356274928
257,experiment7,sup,uneven,08,0.2761629524524942,0.9865286126610178,0.31517052603169604,0.6905290557462203
258,experiment7,sup,uneven,09,0.1546302826607254,0.9616231856167123,0.1560862183686324,0.9431088257119006
259,experiment7,sup,uneven,10,0.03456352780154619,0.9888754286365227,0.08893942386910583,0.0535084871533253
260,experiment7,ae,even,01,0.32062002265022055,0.9878470461781825,0.3544598153271776,0.7705569984231518
261,experiment7,ae,even,02,0.49387027594752675,0.9957789199934586,0.8211995165113108,0.5533751507281328
262,experiment7,ae,even,03,0.5483975722828156,0.9956495577390171,0.7069197968722484,0.7097700816250812
263,experiment7,ae,even,04,0.430843173871491,0.9946935585968295,0.6811629727732371,0.5396791809665151
264,experiment7,ae,even,05,0.45419224993557905,0.9946990170108344,0.6603333624000026,0.5926543224190706
265,experiment7,ae,even,06,0.5263231891414015,0.9957114125728203,0.7473775750521101,0.6402206427975141
266,experiment7,ae,even,07,0.45215593094297624,0.995358902586943,0.788338150994836,0.5146322233559039
267,experiment7,ae,even,08,0.4370271649000352,0.9935475937024142,0.5548744054874406,0.672957633800204
268,experiment7,ae,even,09,0.3089328336526827,0.9918919467034416,0.4579907530586875,0.48697361098228364
269,experiment7,ae,even,10,0.5155389457120377,0.9948986914045729,0.6375060807523918,0.7293386513310454
270,experiment7,sup,even,01,0.00378538858125015,0.5112342790125491,0.003828982948255487,0.24951882942213152
271,experiment7,sup,even,02,0.11560177281114732,0.9889356869381664,0.2220315853626222,0.1943059549206938
272,experiment7,sup,even,03,0.002882312932698078,0.9747280825260418,0.004064118490778916,0.009814720341341248
273,experiment7,sup,even,04,0.5872738582861822,0.9955195482418082,0.651342921695046,0.8565358037287821
274,experiment7,sup,even,05,0.24198307683756576,0.979992280551261,0.252067962859685,0.8581213477413969
