,name,iou,acc,precision,recall,pos,neg,tp,tn,fp,fn
507,m_3907655_ne_18_1_20170611_inference_,0.4599031062980906,0.9995933665013985,0.7443726937269373,0.5461621767970759,29548,46577532,16138,46571990,5542,13410
508,m_3807621_ne_18_1_20170730_inference_,,1.0,,,0,47175820,0,47175820,0,0
509,m_3807627_sw_18_1_20170716_inference_,,1.0,,,0,47562784,0,47562784,0,0
510,m_3907648_nw_18_1_20170611_inference_,0.0,0.9999655598997187,0.0,,0,46515544,0,46513942,1602,0
511,m_3807740_nw_18_1_20170716_inference_,0.0,0.9999679406741027,0.0,,0,47942368,0,47940831,1537,0
512,m_3807747_ne_18_1_20170731_inference_,,1.0,,,0,48034624,0,48034624,0,0
513,m_3907550_ne_18_1_20170609_inference_,0.0,0.9998590194688429,0.0,0.0,5022,46263778,0,46262277,1501,5022
514,m_3807662_nw_18_1_20170730_inference_,0.0,0.9999767156593939,0.0,,0,47413840,0,47412736,1104,0
515,m_3807518_sw_18_1_20170611_inference_,0.7195389626659985,0.9993999452760728,0.9025898918783002,0.780118878155324,92027,46542053,71792,46534305,7748,20235
516,m_3807645_ne_18_1_20170730_inference_,0.0,0.9999867081299755,0.0,,0,47322160,0,47321531,629,0
517,m_3807611_sw_18_1_20170716_inference_,,1.0,,,0,47424832,0,47424832,0,0
518,m_3907651_se_18_1_20170716_inference_,0.0,0.9946889345597097,0.0,,0,47112016,0,46861801,250215,0
519,m_3807538_ne_18_1_20170611_inference_,0.2612808216591776,0.9991543457813035,0.9064055541000786,0.2685255253507189,51537,46216783,13839,46215354,1429,37698
520,m_3807619_nw_18_1_20170716_inference_,,1.0,,,0,47470816,0,47470816,0,0
521,m_3907624_nw_18_1_20170611_inference_,0.0,0.9999872749634539,0.0,,0,46286704,0,46286115,589,0
522,m_3907636_sw_18_1_20170611_inference_,0.0,0.9996745029174767,0.0,,0,46928224,0,46912949,15275,0
523,m_3807547_se_18_1_20170611_inference_,0.0,0.9999555796774167,0.0,,0,46195072,0,46193020,2052,0
524,m_3907654_nw_18_1_20170611_inference_,0.0,0.9843095710090293,0.0,,0,46772080,0,46038206,733874,0
525,m_3807563_ne_18_1_20170611_inference_,,1.0,,,0,46331296,0,46331296,0,0
526,m_3907661_nw_18_1_20170611_inference_,0.0,0.9999886666137067,0.0,,0,47029192,0,47028659,533,0
527,m_3807636_se_18_1_20170730_inference_,0.0,0.9999586445879635,0.0,,0,47442400,0,47440438,1962,0
528,m_3807620_sw_18_1_20170626_inference_,0.0,0.9999726668355944,0.0,,0,47341756,0,47340462,1294,0
529,m_3807740_sw_18_1_20170731_inference_,,1.0,,,0,47988496,0,47988496,0,0
530,m_3807502_nw_18_1_20170609_inference_,0.029624604251469924,0.9993533677319799,0.8791946308724832,0.029745685740236148,30828,46420612,917,46420486,126,29911
531,m_3807616_se_18_1_20170611_inference_,0.15418649302946824,0.9995665764941583,0.2421818658624533,0.2979272521977579,12399,46740949,3694,46729390,11559,8705
532,m_3907653_ne_18_1_20170611_inference_,0.0,0.9999616209306139,0.0,,0,46900564,0,46898764,1800,0
533,m_3807648_nw_18_1_20170611_inference_,0.0,0.9999022066550508,0.0,0.0,4056,47023684,0,47023141,543,4056
534,m_3907542_nw_18_1_20170609_inference_,0.0,0.9999617291252823,0.0,,0,46223140,0,46221371,1769,0
535,m_3907639_ne_18_1_20170611_inference_,0.0,0.9997881203472985,0.0,,0,46469776,0,46459930,9846,0
536,m_3807643_sw_18_1_20170626_inference_,0.0,0.9999822263265582,0.0,,0,47654752,0,47653905,847,0
537,m_3807562_nw_18_1_20170611_inference_,0.7597883597883598,0.9999853534906008,0.9840109639104614,0.7692857142857142,2800,46492920,2154,46492885,35,646
538,m_3907621_se_18_1_20170611_inference_,0.0,0.9999707026064042,0.0,,0,46625308,0,46623942,1366,0
539,m_3807562_ne_18_1_20170611_inference_,,1.0,,,0,46450240,0,46450240,0,0
540,m_3807708_se_18_1_20170725_inference_,0.0,0.9981122817478647,0.0,,0,47628400,0,47538491,89909,0
541,m_3807630_sw_18_1_20170730_inference_,,1.0,,,0,47138800,0,47138800,0,0
542,m_3807619_ne_18_1_20170626_inference_,0.0,0.9999395412784717,0.0,,0,47387704,0,47384839,2865,0
543,m_3807644_nw_18_1_20170626_inference_,0.0,0.9995795734959226,0.0,,0,47525548,0,47505567,19981,0
544,m_3907627_ne_18_1_20170611_inference_,,1.0,,,0,46919008,0,46919008,0,0
545,m_3807630_ne_18_1_20170730_inference_,,1.0,,,0,47138800,0,47138800,0,0
546,m_3807637_se_18_1_20170730_inference_,0.0,0.9998737422878938,0.0,,0,47276320,0,47270351,5969,0
547,m_3807661_nw_18_1_20170730_inference_,,1.0,,,0,47496952,0,47496952,0,0
548,m_3807732_nw_18_1_20170716_inference_,0.0,0.9998705952701089,0.0,,0,47896240,0,47890042,6198,0
549,m_3907637_ne_18_1_20170611_inference_,,1.0,,,0,46717060,0,46717060,0,0
550,m_3907631_sw_18_1_20170611_inference_,0.0,0.999900758182562,0.0,,0,46542880,0,46538261,4619,0
551,m_3907518_se_18_1_20170609_inference_,0.0,0.9995094884556616,0.0,,0,45994840,0,45972279,22561,0
552,m_3807557_ne_18_1_20170611_inference_,0.0,0.9190274080327903,0.0,,0,46999360,0,43193700,3805660,0
553,m_3807533_sw_18_1_20170611_inference_,0.0,0.9997325714258395,0.0,,0,46853632,0,46841102,12530,0
554,m_3807552_ne_18_1_20170611_inference_,0.7559275886099541,0.9996766111806467,0.9759174791814872,0.7702966045712776,60552,46508776,46643,46507625,1151,13909
555,m_3907629_ne_18_1_20170611_inference_,0.0,0.9999405902047875,0.0,,0,46625308,0,46622538,2770,0
556,m_3807619_sw_18_1_20170626_inference_,,1.0,,,0,47470816,0,47470816,0,0
557,m_3907635_se_18_1_20170611_inference_,0.0,0.9997464421925637,0.0,,0,47010976,0,46999056,11920,0
558,m_3807538_nw_18_1_20170611_inference_,0.5179176490795246,0.9979981551091546,0.9595012872805114,0.5294925211116964,187929,46080391,99507,46076191,4200,88422
559,m_3907717_se_18_1_20170628_inference_,0.0,0.9998638048185086,0.0,,0,48056032,0,48049487,6545,0
