,IOU,Accuracy,Precision,Recall
../landcover_scripts/test_inference_sup_uneven/sup_tuned_model_uneven_01_0.60.tif,0.07634540762232622,0.9112482163068069,0.07643073287816264,0.9855880716074575
../landcover_scripts/test_inference_sup_uneven/sup_tuned_model_uneven_02_0.29.tif,0.10583686020389077,0.940388056558662,0.10645514411945553,0.9479785038493647
../landcover_scripts/test_inference_sup_uneven/sup_tuned_model_uneven_03_0.26.tif,0.482740977123259,0.9941983531555026,0.589331799128791,0.7274487524348391
../landcover_scripts/test_inference_sup_uneven/sup_tuned_model_uneven_04_0.31.tif,0.5128752122165631,0.9940881924364936,0.570132187667359,0.8362512753918931
../landcover_scripts/test_inference_sup_uneven/sup_tuned_model_uneven_05_0.22.tif,0.3532887935320254,0.9883529095504122,0.37583696752043516,0.8548343149986086
../landcover_scripts/test_inference_sup_uneven/sup_tuned_model_uneven_06_0.19.tif,0.3869502486187513,0.9889903573772515,0.3978942661185121,0.9336361422873574
../landcover_scripts/test_inference_sup_uneven/sup_tuned_model_uneven_07_0.14.tif,0.1505418314222627,0.9611228022332464,0.15238395174835853,0.925667841573138
../landcover_scripts/test_inference_sup_uneven/sup_tuned_model_uneven_08_0.14.tif,0.21063350138993084,0.9727132589406879,0.2116250326857633,0.9782400751321769
../landcover_scripts/test_inference_sup_uneven/sup_tuned_model_uneven_09_0.16.tif,0.40589217499356856,0.9947186068919273,0.713832062111324,0.4847735599666079
../landcover_scripts/test_inference_sup_uneven/sup_tuned_model_uneven_10_0.14.tif,0.3411509210285023,0.9901558690032418,0.40468816909611005,0.6848303728782117
../landcover_scripts/test_inference_sup_even/sup_tuned_model_even_01_0.38.tif,0.3187964888779215,0.9916619166239127,0.44856081386062985,0.5242614321491513
../landcover_scripts/test_inference_sup_even/sup_tuned_model_even_02_0.28.tif,0.009111407889134053,0.9911637985901327,0.05223156084435938,0.010916195158148595
../landcover_scripts/test_inference_sup_even/sup_tuned_model_even_03_0.22.tif,0.07767521760350649,0.9265712789042438,0.07892350702243207,0.8308250626101474
../landcover_scripts/test_inference_sup_even/sup_tuned_model_even_04_0.15.tif,0.5168607814500722,0.9949040419447833,0.6371627414393061,0.7324401725257397
../landcover_scripts/test_inference_sup_even/sup_tuned_model_even_05_0.16.tif,0.057928947111559895,0.8823488914673123,0.05802588237940692,0.971970364530192
../landcover_scripts/test_inference_sup_even/sup_tuned_model_even_06_0.18.tif,0.2585929334473538,0.99410791176614,0.8030383503207803,0.2761049531583341
../landcover_scripts/test_inference_sup_even/sup_tuned_model_even_07_0.14.tif,0.5359854976928148,0.9954439934360954,0.6889912014348863,0.7070511779983304
../landcover_scripts/test_inference_sup_even/sup_tuned_model_even_08_0.13.tif,0.22244119447031843,0.983196693193552,0.2533449312934568,0.6458352657452926
../landcover_scripts/test_inference_sup_even/sup_tuned_model_even_09_0.11.tif,0.5710468704559408,0.995417585931186,0.653142071769285,0.8195987153325295
../landcover_scripts/test_inference_sup_even/sup_tuned_model_even_10_0.12.tif,0.5109579031831487,0.995292560203286,0.6926231998541654,0.6607979315462388
../landcover_scripts/test_inference_ae_even/ae_tuned_model_even_01_0.45.tif,0.4545111936536985,0.9924116610708934,0.49432323249361143,0.8494747704294592
../landcover_scripts/test_inference_ae_even/ae_tuned_model_even_02_0.22.tif,0.5434774678372528,0.995140048232531,0.643699157231225,0.7773136768388832
../landcover_scripts/test_inference_ae_even/ae_tuned_model_even_03_0.17.tif,0.5465055858664588,0.9960834908650313,0.798210663047127,0.6341132548001113
../landcover_scripts/test_inference_ae_even/ae_tuned_model_even_04_0.23.tif,0.2940559782102511,0.9865907911162046,0.32593070993424506,0.7504260968370281
../landcover_scripts/test_inference_ae_even/ae_tuned_model_even_05_0.17.tif,0.6453204019367735,0.9968724150741978,0.8053987205520864,0.7645278731101011
../landcover_scripts/test_inference_ae_even/ae_tuned_model_even_06_0.16.tif,0.5532492496119116,0.9961690563588798,0.8073570662789502,0.6373915916890827
../landcover_scripts/test_inference_ae_even/ae_tuned_model_even_07_0.14.tif,0.5521541317737425,0.995149476402176,0.6383760778244528,0.8034621092663018
../landcover_scripts/test_inference_ae_even/ae_tuned_model_even_08_0.12.tif,0.5743956963538553,0.9961594987406813,0.7663214236728028,0.6963668722752991
../landcover_scripts/test_inference_ae_even/ae_tuned_model_even_09_0.14.tif,0.4105846590809063,0.9913320817096529,0.4539579758054313,0.8112246081068547
../landcover_scripts/test_inference_ae_even/ae_tuned_model_even_10_0.14.tif,0.5144948941797739,0.9953902507116434,0.7042324487739335,0.6563108709767183
../landcover_scripts/test_inference_ae_uneven/ae_tuned_model_uneven_01_0.70.tif,0.24975055246018477,0.9819445804852853,0.2655593907313302,0.8075201743808552
../landcover_scripts/test_inference_ae_uneven/ae_tuned_model_uneven_02_0.23.tif,0.43117691453681334,0.9915769120737961,0.4643638337868075,0.8578169928578054
../landcover_scripts/test_inference_ae_uneven/ae_tuned_model_uneven_03_0.24.tif,0.5402417591515849,0.9947285744305451,0.6062810552612073,0.8322077033670346
../landcover_scripts/test_inference_ae_uneven/ae_tuned_model_uneven_04_0.20.tif,0.5046772479943952,0.9953630449406543,0.7112156180070867,0.634750950746684
../landcover_scripts/test_inference_ae_uneven/ae_tuned_model_uneven_05_0.29.tif,0.5524249988577979,0.9953502295338601,0.6608196432164674,0.7710526620907151
../landcover_scripts/test_inference_ae_uneven/ae_tuned_model_uneven_06_0.25.tif,0.4783344693657081,0.9929989691580191,0.5178305717164721,0.8624750718857249
