,tp,tn,fp,fn,iou,recall,precision
unet_model_53_0_metrics,0.0,327152937.0,2775.0,0.0,0.0,,0.0
unet_model_19_0_metrics,0.0,327151622.0,4090.0,0.0,0.0,,0.0
unet_model_23_0_metrics,0.0,327148527.0,7185.0,0.0,0.0,,0.0
unet_model_75_0_metrics,0.0,327151943.0,3769.0,0.0,0.0,,0.0
unet_model_39_0_metrics,0.0,327151730.0,3982.0,0.0,0.0,,0.0
unet_model_47_0_metrics,0.0,327149550.0,6162.0,0.0,0.0,,0.0
unet_model_48_0_metrics,0.0,327151479.0,4233.0,0.0,0.0,,0.0
unet_model_64_0_metrics,0.0,327154315.0,1397.0,0.0,0.0,,0.0
unet_model_51_0_metrics,0.0,327153965.0,1747.0,0.0,0.0,,0.0
unet_model_09_0_metrics,0.0,327149427.0,6285.0,0.0,0.0,,0.0
unet_model_14_0_metrics,0.0,327154317.0,1395.0,0.0,0.0,,0.0
unet_model_67_0_metrics,0.0,327153509.0,2203.0,0.0,0.0,,0.0
unet_model_65_0_metrics,0.0,327153059.0,2653.0,0.0,0.0,,0.0
unet_model_10_0_metrics,0.0,327151777.0,3935.0,0.0,0.0,,0.0
unet_model_05_0_metrics,0.0,327153665.0,2047.0,0.0,0.0,,0.0
unet_model_04_0_metrics,0.0,327147000.0,8712.0,0.0,0.0,,0.0
unet_model_59_0_metrics,0.0,327152028.0,3684.0,0.0,0.0,,0.0
unet_model_21_0_metrics,0.0,327149980.0,5732.0,0.0,0.0,,0.0
unet_model_12_0_metrics,0.0,327150725.0,4987.0,0.0,0.0,,0.0
unet_model_37_0_metrics,0.0,327122533.0,33179.0,0.0,0.0,,0.0
unet_model_56_0_metrics,0.0,327153143.0,2569.0,0.0,0.0,,0.0
unet_model_32_0_metrics,0.0,327153408.0,2304.0,0.0,0.0,,0.0
unet_model_70_0_metrics,0.0,327133329.0,22383.0,0.0,0.0,,0.0
unet_model_41_0_metrics,0.0,327152630.0,3082.0,0.0,0.0,,0.0
unet_model_20_0_metrics,0.0,327153713.0,1999.0,0.0,0.0,,0.0
unet_model_61_0_metrics,0.0,327153191.0,2521.0,0.0,0.0,,0.0
unet_model_31_0_metrics,0.0,327154760.0,952.0,0.0,0.0,,0.0
unet_model_63_0_metrics,0.0,327151378.0,4334.0,0.0,0.0,,0.0
unet_model_03_0_metrics,0.0,327153319.0,2393.0,0.0,0.0,,0.0
unet_model_55_0_metrics,0.0,327154062.0,1650.0,0.0,0.0,,0.0
unet_model_33_0_metrics,0.0,327144751.0,10961.0,0.0,0.0,,0.0
unet_model_71_0_metrics,0.0,327153177.0,2535.0,0.0,0.0,,0.0
unet_model_36_0_metrics,0.0,327147103.0,8609.0,0.0,0.0,,0.0
unet_model_17_0_metrics,0.0,327150144.0,5568.0,0.0,0.0,,0.0
unet_model_66_0_metrics,0.0,327153338.0,2374.0,0.0,0.0,,0.0
unet_model_57_0_metrics,0.0,327153503.0,2209.0,0.0,0.0,,0.0
unet_model_43_0_metrics,0.0,327152524.0,3188.0,0.0,0.0,,0.0
unet_model_08_0_metrics,0.0,327150673.0,5039.0,0.0,0.0,,0.0
unet_model_25_0_metrics,0.0,327142165.0,13547.0,0.0,0.0,,0.0
unet_model_24_0_metrics,0.0,327149471.0,6241.0,0.0,0.0,,0.0
unet_model_18_0_metrics,0.0,327152897.0,2815.0,0.0,0.0,,0.0
unet_model_52_0_metrics,0.0,327151146.0,4566.0,0.0,0.0,,0.0
unet_model_07_0_metrics,0.0,327148710.0,7002.0,0.0,0.0,,0.0
unet_model_11_0_metrics,0.0,327153215.0,2497.0,0.0,0.0,,0.0
unet_model_34_0_metrics,0.0,327153382.0,2330.0,0.0,0.0,,0.0
unet_model_29_0_metrics,0.0,327150750.0,4962.0,0.0,0.0,,0.0
unet_model_58_0_metrics,0.0,327152011.0,3701.0,0.0,0.0,,0.0
unet_model_45_0_metrics,0.0,327152539.0,3173.0,0.0,0.0,,0.0
unet_model_69_0_metrics,0.0,327151168.0,4544.0,0.0,0.0,,0.0
unet_model_62_0_metrics,0.0,327152958.0,2754.0,0.0,0.0,,0.0
