,tp,tn,fp,fn,iou,recall,precision
unet_model_19_0_metrics,323001.0,326686515.0,35240.0,110956.0,0.68841233000211,0.7443156810467396,0.9016304666411717
unet_model_23_0_metrics,315302.0,326688301.0,33454.0,118655.0,0.6745712017902874,0.7265742919229324,0.9040762022732225
unet_model_39_0_metrics,313178.0,326688433.0,33322.0,120779.0,0.6702162947618019,0.7216797977679816,0.9038326118326119
unet_model_47_0_metrics,311284.0,326690837.0,30918.0,122673.0,0.6696079591287981,0.7173153100422393,0.9096498559330454
unet_model_48_0_metrics,310950.0,326690738.0,31017.0,123007.0,0.66874706972863,0.7165456485319974,0.9092982656221215
unet_model_09_0_metrics,312894.0,326690242.0,31513.0,121063.0,0.6722108836230047,0.7210253550466982,0.9085006983017186
unet_model_14_0_metrics,312604.0,326689100.0,32655.0,121353.0,0.6699441934626628,0.7203570860707398,0.90541883050116
unet_model_10_0_metrics,311064.0,326691103.0,30652.0,122893.0,0.6695178095990392,0.7168083473708224,0.910299781104777
unet_model_05_0_metrics,311317.0,326692243.0,29512.0,122640.0,0.6717105135402799,0.7173913544429518,0.913411124053411
unet_model_04_0_metrics,316979.0,326688684.0,33071.0,116978.0,0.6787151948063072,0.7304387301045956,0.9055249250107128
unet_model_21_0_metrics,312676.0,326689608.0,32147.0,121281.0,0.6708288279010692,0.7205230011268398,0.906772460073719
unet_model_12_0_metrics,316009.0,326689591.0,32164.0,117948.0,0.6779548657966493,0.7282034855988035,0.9076206368673044
unet_model_37_0_metrics,317498.0,326688019.0,33736.0,116459.0,0.678859850371932,0.7316347011339833,0.9039500731705928
unet_model_32_0_metrics,310487.0,326688403.0,33352.0,123470.0,0.6644147662467447,0.715478722546243,0.9030011138934211
unet_model_41_0_metrics,311957.0,326688410.0,33345.0,122000.0,0.6675704362489354,0.7188661549416187,0.9034323577621908
unet_model_20_0_metrics,312861.0,326689453.0,32302.0,121096.0,0.6710025972688999,0.7209493106459857,0.9064152299058705
unet_model_31_0_metrics,315852.0,326688261.0,33494.0,118105.0,0.6756900723284366,0.7278416986014743,0.9041237054381616
unet_model_03_0_metrics,310733.0,326690814.0,30941.0,123224.0,0.6683896252511303,0.7160455989879182,0.9094429192739277
unet_model_33_0_metrics,315004.0,326688973.0,32782.0,118953.0,0.6749039613145676,0.7258875879407407,0.9057408866371849
unet_model_36_0_metrics,316022.0,326688360.0,33395.0,117935.0,0.6761969564696417,0.7282334424839327,0.9044265161683605
unet_model_17_0_metrics,312133.0,326690212.0,31543.0,121824.0,0.6705327604726101,0.719271725078752,0.9082187874626101
unet_model_43_0_metrics,307969.0,326690190.0,31565.0,125988.0,0.661556274461787,0.7096763043343004,0.9070343470756979
unet_model_08_0_metrics,315678.0,326691107.0,30648.0,118279.0,0.6794545904585616,0.7274407372158993,0.9115053446752481
unet_model_25_0_metrics,316229.0,326688595.0,33160.0,117728.0,0.6769802854531092,0.7287104482702204,0.9050914596624393
unet_model_24_0_metrics,310956.0,326690258.0,31497.0,123001.0,0.6680703141448994,0.7165594747866724,0.9080253348634704
unet_model_18_0_metrics,315403.0,326688933.0,32822.0,118554.0,0.6757009205641213,0.7268070338766284,0.9057448488764448
unet_model_07_0_metrics,306818.0,326692681.0,29074.0,127139.0,0.6626294999686846,0.7070239678124791,0.9134424160146714
unet_model_11_0_metrics,310807.0,326690788.0,30967.0,123150.0,0.6685114126179763,0.7162161227955766,0.9093933417989666
unet_model_34_0_metrics,314254.0,326689430.0,32325.0,119703.0,0.673956961666974,0.7241593061063654,0.9067312214531175
unet_model_29_0_metrics,312122.0,326689545.0,32210.0,121835.0,0.6695497536290642,0.7192463769451812,0.9064565593671224
unet_model_45_0_metrics,316730.0,326689070.0,32685.0,117227.0,0.6787430192738759,0.729864940535583,0.9064579368372851
unet_model_22_0_metrics,310476.0,326689107.0,32648.0,123481.0,0.6653936413026007,0.7154533744126722,0.9048507245194157
unet_model_28_0_metrics,314015.0,326689377.0,32378.0,119942.0,0.6733678578704151,0.7236085602951444,0.9065281342290404
unet_model_15_0_metrics,311565.0,326690882.0,30873.0,122392.0,0.670277305681647,0.7179628396361851,0.9098435337199726
unet_model_16_0_metrics,311442.0,326689363.0,32392.0,122515.0,0.6678303159221957,0.7176794014153476,0.9057917483436775
unet_model_42_0_metrics,315043.0,326689464.0,32291.0,118914.0,0.6756983407971723,0.7259774585961282,0.9070318483073929
unet_model_30_0_metrics,315604.0,326687509.0,34246.0,118353.0,0.6740751340764582,0.7272702134082409,0.9021123338573674
unet_model_46_0_metrics,314506.0,326689858.0,31897.0,119451.0,0.6751170967728086,0.7247400088027155,0.907919388688897
unet_model_13_0_metrics,316826.0,326688231.0,33524.0,117131.0,0.6777302179125997,0.730086160610383,0.9043128300271157
unet_model_40_0_metrics,307038.0,326689685.0,32070.0,126919.0,0.6588416550972368,0.7075309304838958,0.9054283591068332
unet_model_35_0_metrics,314426.0,326688595.0,33160.0,119531.0,0.6731204387765806,0.7245556587403821,0.9045991495629858
unet_model_49_0_metrics,308596.0,326690784.0,30971.0,125361.0,0.6637500860348269,0.7111211479478381,0.9087926683099359
unet_model_06_0_metrics,306110.0,326692510.0,29245.0,127847.0,0.660856386630455,0.7053924697608288,0.9127939049663789
unet_model_27_0_metrics,315205.0,326687243.0,34512.0,118752.0,0.6728406788923066,0.7263507674723533,0.9013144914316433
unet_model_38_0_metrics,313986.0,326688950.0,32805.0,119971.0,0.6726897219568002,0.7235417333975486,0.9054041194840696
unet_model_50_0_metrics,311788.0,326690822.0,30933.0,122169.0,0.6706704811890984,0.7184767154349394,0.9097429104140102
unet_model_44_0_metrics,310923.0,326689999.0,31756.0,123034.0,0.6676279167641874,0.7164834303859599,0.9073301836412503
unet_model_02_0_metrics,311488.0,326689505.0,32250.0,122469.0,0.6681323961244683,0.7177854027011893,0.9061785429600452
unet_model_01_0_metrics,315918.0,326688312.0,33443.0,118039.0,0.6759050064184853,0.7279937874028993,0.9042738027427217
unet_model_26_0_metrics,311692.0,326689201.0,32554.0,122265.0,0.6681342990840516,0.7182554953601393,0.905433904823876
