,tp,tn,fp,fn,iou,recall,precision
unet_model_19_0_metrics,0.0,327133791.0,21921.0,0.0,0.0,,0.0
unet_model_23_0_metrics,0.0,327144917.0,10795.0,0.0,0.0,,0.0
unet_model_09_0_metrics,0.0,326960121.0,195591.0,0.0,0.0,,0.0
unet_model_14_0_metrics,0.0,327145708.0,10004.0,0.0,0.0,,0.0
unet_model_10_0_metrics,0.0,326677209.0,478503.0,0.0,0.0,,0.0
unet_model_05_0_metrics,0.0,327145966.0,9746.0,0.0,0.0,,0.0
unet_model_04_0_metrics,0.0,327101154.0,54558.0,0.0,0.0,,0.0
unet_model_21_0_metrics,0.0,327137542.0,18170.0,0.0,0.0,,0.0
unet_model_12_0_metrics,0.0,327144328.0,11384.0,0.0,0.0,,0.0
unet_model_20_0_metrics,0.0,327148753.0,6959.0,0.0,0.0,,0.0
unet_model_03_0_metrics,0.0,327150549.0,5163.0,0.0,0.0,,0.0
unet_model_17_0_metrics,0.0,327153794.0,1918.0,0.0,0.0,,0.0
unet_model_08_0_metrics,0.0,327151958.0,3754.0,0.0,0.0,,0.0
unet_model_18_0_metrics,0.0,327108256.0,47456.0,0.0,0.0,,0.0
unet_model_07_0_metrics,0.0,327150607.0,5105.0,0.0,0.0,,0.0
unet_model_11_0_metrics,0.0,327141933.0,13779.0,0.0,0.0,,0.0
unet_model_22_0_metrics,0.0,327152282.0,3430.0,0.0,0.0,,0.0
unet_model_15_0_metrics,0.0,327073571.0,82141.0,0.0,0.0,,0.0
unet_model_16_0_metrics,0.0,327141957.0,13755.0,0.0,0.0,,0.0
unet_model_13_0_metrics,0.0,327144775.0,10937.0,0.0,0.0,,0.0
unet_model_06_0_metrics,0.0,327142560.0,13152.0,0.0,0.0,,0.0
unet_model_02_0_metrics,0.0,327153592.0,2120.0,0.0,0.0,,0.0
unet_model_01_0_metrics,0.0,327020006.0,135706.0,0.0,0.0,,0.0
